Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     14.74     0.00       24     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_get_Tp_allocator() const
  0.00     14.74     0.00       24     0.00     0.07  std::vector<Star, std::allocator<Star> >::max_size() const
  0.00     14.74     0.00       24     0.00     0.00  std::allocator_traits<std::allocator<Star> >::max_size(std::allocator<Star> const&)
  0.00     14.74     0.00       24     0.00     0.07  std::vector<Star, std::allocator<Star> >::_S_max_size(std::allocator<Star> const&)
  0.00     14.74     0.00       24     0.00     0.16  std::vector<Star, std::allocator<Star> >::_S_relocate(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     14.74     0.00       24     0.00     0.16  std::vector<Star, std::allocator<Star> >::_S_do_relocate(Star*, Star*, Star*, std::allocator<Star>&, std::integral_constant<bool, true>)
  0.00     14.74     0.00       24     0.00     0.16  Star* std::__relocate_a<Star*, Star*, std::allocator<Star> >(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     14.74     0.00       24     0.00     0.16  Star* std::__relocate_a_1<Star*, Star*, std::allocator<Star> >(Star*, Star*, Star*, std::allocator<Star>&)
  0.00     14.74     0.00       14     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_deallocate(Star*, unsigned long)
  0.00     14.74     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Star>::deallocate(Star*, unsigned long)
  0.00     14.74     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Star>::allocate(unsigned long, void const*)
  0.00     14.74     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >::difference_type __gnu_cxx::operator-<Star*, std::vector<Star, std::allocator<Star> > >(__gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > > const&, __gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > > const&)
  0.00     14.74     0.00       12     0.00     0.15  std::vector<Star, std::allocator<Star> >::_M_check_len(unsigned long, char const*) const
  0.00     14.74     0.00       12     0.00     0.00  std::_Vector_base<Star, std::allocator<Star> >::_M_allocate(unsigned long)
  0.00     14.74     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<Star> >::deallocate(std::allocator<Star>&, Star*, unsigned long)
  0.00     14.74     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<Star> >::allocate(std::allocator<Star>&, unsigned long)
  0.00     14.74     0.00       12     0.00     0.47  void std::vector<Star, std::allocator<Star> >::_M_realloc_insert<Star const&>(__gnu_cxx::__normal_iterator<Star*, std::vector<Star, std::allocator<Star> > >, Star const&)
  0.00     14.74     0.00       12     0.00     0.00  std::vector<Star, std::allocator<Star> >::end()
  0.00     14.74     0.00       12     0.00     0.00  std::vector<Star, std::allocator<Star> >::begin()
  0.00     14.74     0.00       12     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
